Date,Account,Category,INR,Income/Expense,Amount,Currency,Account,Method,Mode
03/02/22,CUB - online payment,Food,50,Expense,50,INR,50,CUB , online payment
03/02/22,CUB - online payment,Other,300,Expense,300,INR,300,CUB , online payment
03/01/22,CUB - online payment,Food,78,Expense,78,INR,78,CUB , online payment
03/01/22,CUB - online payment,Transportation,30,Expense,30,INR,30,CUB , online payment
03/01/22,CUB - online payment,Food,67,Expense,67,INR,67,CUB , online payment
03/01/22,CUB - online payment,Other,100,Income,100,INR,100,CUB , online payment
03/01/22,CUB - online payment,Other,500,Income,500,INR,500,CUB , online payment
02/28/22,CUB - online payment,Food,339.15,Expense,339.15,INR,339.15,CUB , online payment
02/28/22,CUB - online payment,Other,200,Income,200,INR,200,CUB , online payment
02/27/22,CUB - online payment,Food,243,Expense,243,INR,243,CUB , online payment
02/26/22,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
02/26/22,CUB - online payment,Other,1500,Income,1500,INR,1500,CUB , online payment
02/26/22,CUB - online payment,Other,100,Expense,100,INR,100,CUB , online payment
02/26/22,CUB - online payment,Social Life,1700,Expense,1700,INR,1700,CUB , online payment
02/26/22,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
02/26/22,CUB - online payment,Food,84,Expense,84,INR,84,CUB , online payment
02/25/22,CUB - online payment,Food,33,Expense,33,INR,33,CUB , online payment
02/24/22,CUB - online payment,Household,303,Expense,303,INR,303,CUB , online payment
02/24/22,CUB - online payment,Food,289,Expense,289,INR,289,CUB , online payment
02/24/22,CUB - online payment,Food,324.7,Expense,324.7,INR,324.7,CUB , online payment
02/23/22,CUB - online payment,Apparel,399,Expense,399,INR,399,CUB , online payment
02/23/22,CUB - online payment,Food,83,Expense,83,INR,83,CUB , online payment
02/23/22,CUB - online payment,Apparel,399,Expense,399,INR,399,CUB , online payment
02/22/22,CUB - online payment,Transportation,120,Expense,120,INR,120,CUB , online payment
02/21/22,CUB - online payment,Transportation,1300,Expense,1300,INR,1300,CUB , online payment
02/21/22,CUB - online payment,Transportation,138,Expense,138,INR,138,CUB , online payment
02/21/22,CUB - online payment,Household,336,Expense,336,INR,336,CUB , online payment
02/21/22,CUB - online payment,Transportation,201.8,Expense,201.8,INR,201.8,CUB , online payment
02/20/22,CUB - online payment,Food,200,Expense,200,INR,200,CUB , online payment
02/19/22,CUB - online payment,Food,111,Expense,111,INR,111,CUB , online payment
02/19/22,CUB - online payment,Food,250,Expense,250,INR,250,CUB , online payment
02/19/22,CUB - online payment,Transportation,1575,Expense,1575,INR,1575,CUB , online payment
02/19/22,CUB - online payment,Transportation,200,Expense,200,INR,200,CUB , online payment
02/19/22,CUB - online payment,Food,380,Expense,380,INR,380,CUB , online payment
02/19/22,CUB - online payment,Transportation,60,Expense,60,INR,60,CUB , online payment
02/19/22,CUB - online payment,Other,50,Expense,50,INR,50,CUB , online payment
02/19/22,CUB - online payment,Transportation,270,Expense,270,INR,270,CUB , online payment
02/18/22,CUB - online payment,Food,348,Expense,348,INR,348,CUB , online payment
02/17/22,CUB - online payment,Food,80,Expense,80,INR,80,CUB , online payment
02/16/22,CUB - online payment,Food,165,Expense,165,INR,165,CUB , online payment
02/16/22,CUB - online payment,Food,475,Expense,475,INR,475,CUB , online payment
02/13/22,CUB - online payment,Social Life,100,Expense,100,INR,100,CUB , online payment
02/12/22,CUB - online payment,Food,491,Expense,491,INR,491,CUB , online payment
02/12/22,CUB - online payment,Household,70,Expense,70,INR,70,CUB , online payment
02/12/22,CUB - online payment,Food,80,Expense,80,INR,80,CUB , online payment
02/12/22,CUB - online payment,Other,10000,Income,10000,INR,10000,CUB , online payment
02/11/22,CUB - online payment,Food,373,Expense,373,INR,373,CUB , online payment
02/10/22,CUB - online payment,Food,641,Expense,641,INR,641,CUB , online payment
02/08/22,CUB - online payment,Other,1000,Income,1000,INR,1000,CUB , online payment
02/08/22,CUB - online payment,Household,2099,Expense,2099,INR,2099,CUB , online payment
02/07/22,CUB - online payment,Transportation,214,Expense,214,INR,214,CUB , online payment
02/06/22,CUB - online payment,Food,125,Expense,125,INR,125,CUB , online payment
02/06/22,CUB - online payment,Food,150,Expense,150,INR,150,CUB , online payment
02/06/22,CUB - online payment,Transportation,1000,Expense,1000,INR,1000,CUB , online payment
02/06/22,CUB - online payment,Other,5000,Income,5000,INR,5000,CUB , online payment
02/06/22,CUB - online payment,Other,1500,Expense,1500,INR,1500,CUB , online payment
02/04/22,CUB - online payment,Food,80,Expense,80,INR,80,CUB , online payment
02/03/22,CUB - online payment,Food,50,Expense,50,INR,50,CUB , online payment
02/03/22,CUB - online payment,Other,150,Expense,150,INR,150,CUB , online payment
02/02/22,CUB - online payment,Food,120,Expense,120,INR,120,CUB , online payment
02/02/22,CUB - online payment,Other,500,Income,500,INR,500,CUB , online payment
01/31/22,CUB - online payment,Transportation,50,Expense,50,INR,50,CUB , online payment
01/31/22,CUB - online payment,Other,200,Expense,200,INR,200,CUB , online payment
01/31/22,CUB - online payment,Transportation,153,Expense,153,INR,153,CUB , online payment
01/30/22,CUB - online payment,Food,155,Expense,155,INR,155,CUB , online payment
01/30/22,CUB - online payment,Food,120,Expense,120,INR,120,CUB , online payment
01/30/22,CUB - online payment,Food,105,Expense,105,INR,105,CUB , online payment
01/29/22,CUB - online payment,Transportation,44,Expense,44,INR,44,CUB , online payment
01/29/22,CUB - online payment,Other,100,Expense,100,INR,100,CUB , online payment
01/28/22,CUB - online payment,Food,10,Expense,10,INR,10,CUB , online payment
01/28/22,CUB - online payment,Food,138,Expense,138,INR,138,CUB , online payment
01/27/22,CUB - online payment,Transportation,43,Expense,43,INR,43,CUB , online payment
01/27/22,CUB - online payment,Other,300,Expense,300,INR,300,CUB , online payment
01/27/22,CUB - online payment,Other,100,Expense,100,INR,100,CUB , online payment
01/27/22,CUB - online payment,Food,279,Expense,279,INR,279,CUB , online payment
01/27/22,CUB - online payment,Other,300,Income,300,INR,300,CUB , online payment
01/27/22,CUB - online payment,Other,1500,Income,1500,INR,1500,CUB , online payment
01/26/22,CUB - online payment,Food,115,Expense,115,INR,115,CUB , online payment
01/26/22,CUB - online payment,Other,125,Income,125,INR,125,CUB , online payment
01/26/22,CUB - online payment,Food,25,Expense,25,INR,25,CUB , online payment
01/25/22,CUB - online payment,Food,259,Expense,259,INR,259,CUB , online payment
01/25/22,CUB - online payment,Food,18,Expense,18,INR,18,CUB , online payment
01/25/22,CUB - online payment,Transportation,325,Expense,325,INR,325,CUB , online payment
01/24/22,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
01/24/22,CUB - online payment,Food,133,Expense,133,INR,133,CUB , online payment
01/23/22,CUB - online payment,Food,40,Expense,40,INR,40,CUB , online payment
01/23/22,CUB - online payment,Food,465,Expense,465,INR,465,CUB , online payment
01/23/22,CUB - online payment,Food,300,Expense,300,INR,300,CUB , online payment
01/23/22,CUB - online payment,Food,302,Expense,302,INR,302,CUB , online payment
01/23/22,CUB - online payment,Other,310,Income,310,INR,310,CUB , online payment
01/23/22,CUB - online payment,Food,176,Expense,176,INR,176,CUB , online payment
01/23/22,CUB - online payment,Social Life,200,Expense,200,INR,200,CUB , online payment
01/23/22,CUB - online payment,Other,2000,Income,2000,INR,2000,CUB , online payment
01/21/22,CUB - online payment,Food,188,Expense,188,INR,188,CUB , online payment
01/21/22,CUB - online payment,Food,37,Expense,37,INR,37,CUB , online payment
01/21/22,CUB - online payment,Other,200,Income,200,INR,200,CUB , online payment
01/19/22,CUB - online payment,Food,171,Expense,171,INR,171,CUB , online payment
01/18/22,CUB - online payment,Food,301.15,Expense,301.15,INR,301.15,CUB , online payment
01/18/22,CUB - online payment,Food,59,Expense,59,INR,59,CUB , online payment
01/18/22,CUB - online payment,Food,148,Expense,148,INR,148,CUB , online payment
01/18/22,CUB - online payment,Other,200,Expense,200,INR,200,CUB , online payment
01/18/22,CUB - online payment,Other,1000,Income,1000,INR,1000,CUB , online payment
01/17/22,CUB - online payment,Food,100,Expense,100,INR,100,CUB , online payment
01/15/22,CUB - online payment,Transportation,1365,Expense,1365,INR,1365,CUB , online payment
01/15/22,CUB - online payment,Other,1500,Income,1500,INR,1500,CUB , online payment
01/15/22,CUB - online payment,Food,70,Expense,70,INR,70,CUB , online payment
01/14/22,CUB - online payment,Other,170,Income,170,INR,170,CUB , online payment
01/14/22,CUB - online payment,Other,70,Income,70,INR,70,CUB , online payment
01/14/22,CUB - online payment,Other,340,Income,340,INR,340,CUB , online payment
01/14/22,CUB - online payment,Other,240,Income,240,INR,240,CUB , online payment
01/14/22,CUB - online payment,Other,340,Income,340,INR,340,CUB , online payment
01/14/22,CUB - online payment,Food,1530,Expense,1530,INR,1530,CUB , online payment
01/13/22,CUB - online payment,Food,66,Expense,66,INR,66,CUB , online payment
01/13/22,CUB - online payment,Other,1000,Income,1000,INR,1000,CUB , online payment
